Weather station,Year,Month,Date,Time [Local time],Average temperature [C]
Oulu Kaukovainio,2025,11,1,00:00,-0.1
Oulu Kaukovainio,2025,11,1,01:00,-0.2
Oulu Kaukovainio,2025,11,1,02:00,0.4
Oulu Kaukovainio,2025,11,1,03:00,1.4
Oulu Kaukovainio,2025,11,1,04:00,1.9
Oulu Kaukovainio,2025,11,1,05:00,2.3
Oulu Kaukovainio,2025,11,1,06:00,2.4
Oulu Kaukovainio,2025,11,1,07:00,2.5
Oulu Kaukovainio,2025,11,1,08:00,2.5
Oulu Kaukovainio,2025,11,1,09:00,2.6
Oulu Kaukovainio,2025,11,1,10:00,3
Oulu Kaukovainio,2025,11,1,11:00,3.4
Oulu Kaukovainio,2025,11,1,12:00,3.9
Oulu Kaukovainio,2025,11,1,13:00,4.2
Oulu Kaukovainio,2025,11,1,14:00,4.3
Oulu Kaukovainio,2025,11,1,15:00,4.2
Oulu Kaukovainio,2025,11,1,16:00,3.9
Oulu Kaukovainio,2025,11,1,17:00,3.6
Oulu Kaukovainio,2025,11,1,18:00,3.2
Oulu Kaukovainio,2025,11,1,19:00,3
Oulu Kaukovainio,2025,11,1,20:00,3
Oulu Kaukovainio,2025,11,1,21:00,3.1
Oulu Kaukovainio,2025,11,1,22:00,3.1
Oulu Kaukovainio,2025,11,1,23:00,2.8
Oulu Kaukovainio,2025,11,2,00:00,2.6
Oulu Kaukovainio,2025,11,2,01:00,2.4
Oulu Kaukovainio,2025,11,2,02:00,2.1
Oulu Kaukovainio,2025,11,2,03:00,2
Oulu Kaukovainio,2025,11,2,04:00,1.9
Oulu Kaukovainio,2025,11,2,05:00,1.8
Oulu Kaukovainio,2025,11,2,06:00,1.7
Oulu Kaukovainio,2025,11,2,07:00,1.9
Oulu Kaukovainio,2025,11,2,08:00,2
Oulu Kaukovainio,2025,11,2,09:00,2.2
Oulu Kaukovainio,2025,11,2,10:00,2.5
Oulu Kaukovainio,2025,11,2,11:00,2.8
Oulu Kaukovainio,2025,11,2,12:00,3
Oulu Kaukovainio,2025,11,2,13:00,3.3
Oulu Kaukovainio,2025,11,2,14:00,3.6
Oulu Kaukovainio,2025,11,2,15:00,3.8
Oulu Kaukovainio,2025,11,2,16:00,4
Oulu Kaukovainio,2025,11,2,17:00,4.2
Oulu Kaukovainio,2025,11,2,18:00,4.3
Oulu Kaukovainio,2025,11,2,19:00,4.1
Oulu Kaukovainio,2025,11,2,20:00,4.2
Oulu Kaukovainio,2025,11,2,21:00,4.5
Oulu Kaukovainio,2025,11,2,22:00,4.8
Oulu Kaukovainio,2025,11,2,23:00,5
Oulu Kaukovainio,2025,11,3,00:00,5
Oulu Kaukovainio,2025,11,3,01:00,5
Oulu Kaukovainio,2025,11,3,02:00,4.9
Oulu Kaukovainio,2025,11,3,03:00,5
Oulu Kaukovainio,2025,11,3,04:00,5.1
Oulu Kaukovainio,2025,11,3,05:00,5.1
Oulu Kaukovainio,2025,11,3,06:00,5.1
Oulu Kaukovainio,2025,11,3,07:00,5.3
Oulu Kaukovainio,2025,11,3,08:00,5.4
Oulu Kaukovainio,2025,11,3,09:00,5.5
Oulu Kaukovainio,2025,11,3,10:00,5.7
Oulu Kaukovainio,2025,11,3,11:00,6.1
Oulu Kaukovainio,2025,11,3,12:00,6.4
Oulu Kaukovainio,2025,11,3,13:00,7
Oulu Kaukovainio,2025,11,3,14:00,7.2
Oulu Kaukovainio,2025,11,3,15:00,7.2
Oulu Kaukovainio,2025,11,3,16:00,6.8
Oulu Kaukovainio,2025,11,3,17:00,6.8
Oulu Kaukovainio,2025,11,3,18:00,7
Oulu Kaukovainio,2025,11,3,19:00,7.1
Oulu Kaukovainio,2025,11,3,20:00,6.7
Oulu Kaukovainio,2025,11,3,21:00,6.4
Oulu Kaukovainio,2025,11,3,22:00,6.4
Oulu Kaukovainio,2025,11,3,23:00,6.4
Oulu Kaukovainio,2025,11,4,00:00,6.2
Oulu Kaukovainio,2025,11,4,01:00,5.7
Oulu Kaukovainio,2025,11,4,02:00,5.4
Oulu Kaukovainio,2025,11,4,03:00,5.5
Oulu Kaukovainio,2025,11,4,04:00,5.6
Oulu Kaukovainio,2025,11,4,05:00,5.7
Oulu Kaukovainio,2025,11,4,06:00,5.9
Oulu Kaukovainio,2025,11,4,07:00,6.2
Oulu Kaukovainio,2025,11,4,08:00,6.3
Oulu Kaukovainio,2025,11,4,09:00,6.4
Oulu Kaukovainio,2025,11,4,10:00,6.9
